Initializing V620 PPO Trainer...
ROCm GPU detected: AMD Radeon PRO V620
Training server listening on port 5555
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.01 | Avg (100): -5.01
Episode finished | Reward: -5.64 | Avg (100): -5.02
Episode finished | Reward: -7.01 | Avg (100): -5.04
Episode finished | Reward: -7.81 | Avg (100): -5.06
Episode finished | Reward: 97.93 | Avg (100): -4.03
Episode finished | Reward: 380.58 | Avg (100): -0.18
Episode finished | Reward: 6.86 | Avg (100): -0.06
Episode finished | Reward: -3.45 | Avg (100): -0.04
Episode finished | Reward: -303.14 | Avg (100): -3.03
Episode finished | Reward: -283.49 | Avg (100): -5.81
Episode finished | Reward: -5.01 | Avg (100): -5.81
Episode finished | Reward: -5.01 | Avg (100): -5.81
Episode finished | Reward: -5.01 | Avg (100): -5.81
Episode finished | Reward: -6.02 | Avg (100): -5.82
Episode finished | Reward: -5.01 | Avg (100): -5.82
Episode finished | Reward: -5.01 | Avg (100): -5.82
Episode finished | Reward: -60.12 | Avg (100): -6.37
Episode finished | Reward: -5.01 | Avg (100): -6.37
